obj_i,obj_j,cell_id,t_exit_i,t_enter_j,pet,severity
133,2,"(17, 7)",7.233333333333333,7.4,0.16666666666666696,critical
133,53,"(17, 7)",7.233333333333333,9.2,1.966666666666666,moderate
2,53,"(17, 7)",7.266666666666667,9.2,1.9333333333333327,moderate
2,53,"(17, 7)",7.5,9.2,1.6999999999999993,moderate
1647,1730,"(17, 7)",52.8,53.56666666666667,0.7666666666666728,critical
603,672,"(17, 8)",17.3,18.533333333333335,1.2333333333333343,critical
1348,1399,"(17, 8)",40.06666666666667,41.36666666666667,1.2999999999999972,critical
1621,1647,"(17, 8)",50.733333333333334,52.56666666666667,1.8333333333333357,moderate
8,132,"(16, 8)",4.133333333333334,5.533333333333333,1.3999999999999995,critical
2,53,"(16, 8)",8.033333333333333,9.766666666666667,1.7333333333333343,moderate
2,53,"(16, 8)",8.033333333333333,9.833333333333334,1.8000000000000007,moderate
279,53,"(16, 8)",7.966666666666667,9.766666666666667,1.8000000000000007,moderate
279,53,"(16, 8)",7.966666666666667,9.833333333333334,1.8666666666666671,moderate
1054,1124,"(16, 8)",30.633333333333333,32.0,1.3666666666666671,critical
1054,1124,"(16, 8)",30.833333333333332,32.0,1.1666666666666679,critical
1348,1371,"(16, 8)",40.2,41.06666666666667,0.8666666666666671,critical
1348,1399,"(16, 8)",40.2,41.733333333333334,1.5333333333333314,moderate
1371,1399,"(16, 8)",41.1,41.733333333333334,0.6333333333333329,critical
1647,1744,"(16, 8)",52.96666666666667,53.86666666666667,0.8999999999999986,critical
779,879,"(16, 9)",23.733333333333334,24.833333333333332,1.0999999999999979,critical
7,8,"(15, 9)",2.6,4.3,1.6999999999999997,moderate
8,132,"(14, 9)",4.7,6.1,1.3999999999999995,critical
2,53,"(14, 9)",8.5,10.266666666666667,1.7666666666666675,moderate
763,315,"(14, 9)",20.633333333333333,22.4,1.7666666666666657,moderate
7,8,"(14, 10)",3.2333333333333334,4.733333333333333,1.5,moderate
146,8,"(14, 10)",3.2333333333333334,4.733333333333333,1.5,moderate
8,132,"(12, 10)",5.133333333333334,6.6,1.466666666666666,critical
8,132,"(12, 10)",5.2,6.6,1.3999999999999995,critical
2,53,"(12, 10)",8.9,10.7,1.799999999999999,moderate
268,353,"(12, 10)",13.433333333333334,15.433333333333334,2.0,moderate
1765,1799,"(12, 10)",55.03333333333333,55.96666666666667,0.9333333333333371,critical
7,8,"(12, 11)",3.7666666666666666,5.166666666666667,1.4000000000000004,critical
2,53,"(10, 11)",9.233333333333333,11.066666666666666,1.833333333333334,moderate
268,353,"(10, 11)",14.2,16.2,2.0,moderate
8,132,"(9, 12)",5.766666666666667,7.366666666666666,1.5999999999999996,moderate
7,8,"(9, 13)",4.6,5.8,1.2000000000000002,critical
8,132,"(7, 13)",6.033333333333333,7.666666666666667,1.6333333333333337,moderate
2,53,"(7, 13)",9.766666666666667,11.733333333333333,1.966666666666665,moderate
7,8,"(7, 14)",5.266666666666667,6.066666666666666,0.7999999999999998,critical
8,132,"(5, 14)",6.5,7.933333333333334,1.4333333333333336,critical
8,132,"(5, 14)",6.5,8.066666666666666,1.5666666666666664,moderate
132,2,"(5, 14)",8.0,9.9,1.9000000000000004,moderate
