event_id,pet,frame,track_a,track_b,conflict_type,world_traj_i,world_traj_j
20,0.06664993649065498,,14,72,CELL_M_5,"[(0.19994980947196514, 730910.6875, 222006.265625), (0.2332747777172927, 730910.6875, 222006.265625), (0.2665997459626202, 730910.6875, 222006.265625), (0.2999247142079477, 730910.6875, 222006.265625), (0.33324968245327524, 730910.625, 222006.25), (0.3665746506986028, 730910.625, 222006.25), (0.3998996189439303, 730910.625, 222006.25), (0.4332245871892578, 730910.6875, 222006.265625), (0.4665495554345854, 730910.625, 222006.234375), (0.49987452367991286, 730910.625, 222006.25), (0.5331994919252404, 730910.625, 222006.234375), (0.5665244601705679, 730910.6875, 222006.25), (0.5998494284158954, 730910.625, 222006.234375), (0.633174396661223, 730910.625, 222006.25), (0.6664993649065505, 730910.625, 222006.21875), (0.699824333151878, 730910.625, 222006.234375), (0.7331493013972056, 730910.5625, 222006.234375)]","[(0.7997992378878606, 730910.625, 222006.265625), (0.8331242061331882, 730910.5625, 222006.25), (0.8664491743785157, 730910.5625, 222006.25), (0.8997741426238431, 730910.625, 222006.25)]"
21,0.06664993649065498,,72,72,CELL_M_5,"[(0.33324968245327524, 730910.625, 222006.234375), (0.3665746506986028, 730910.625, 222006.265625), (0.3998996189439303, 730910.625, 222006.25), (0.4332245871892578, 730910.6875, 222006.265625), (0.4665495554345854, 730910.6875, 222006.265625), (0.49987452367991286, 730910.625, 222006.234375), (0.5331994919252404, 730910.625, 222006.234375), (0.5665244601705679, 730910.625, 222006.234375), (0.5998494284158954, 730910.625, 222006.234375), (0.633174396661223, 730910.625, 222006.234375), (0.6664993649065505, 730910.625, 222006.21875), (0.699824333151878, 730910.5625, 222006.21875), (0.7331493013972056, 730910.5625, 222006.234375)]","[(0.7997992378878606, 730910.625, 222006.265625), (0.8331242061331882, 730910.5625, 222006.25), (0.8664491743785157, 730910.5625, 222006.25), (0.8997741426238431, 730910.625, 222006.25)]"
22,0.6331743966612231,,15,12,CELL_O_4,"[(0.0, 730910.5, 222006.3125), (0.033324968245327526, 730910.5, 222006.328125), (0.06664993649065505, 730910.4375, 222006.328125), (0.09997490473598257, 730910.4375, 222006.34375), (0.1332998729813101, 730910.4375, 222006.34375), (0.16662484122663762, 730910.4375, 222006.34375), (0.19994980947196514, 730910.5, 222006.359375), (0.2332747777172927, 730910.4375, 222006.359375), (0.2665997459626202, 730910.5, 222006.375), (0.2999247142079477, 730910.4375, 222006.375)]","[(0.9330991108691707, 730910.5, 222006.328125), (0.9664240791144982, 730910.5625, 222006.34375)]"
23,0.4665495554345853,,13,23,CELL_B_4,"[(0.0, 730910.4375, 222005.640625), (0.033324968245327526, 730910.375, 222005.640625), (0.06664993649065505, 730910.375, 222005.640625), (0.09997490473598257, 730910.375, 222005.625), (0.1332998729813101, 730910.375, 222005.625)]","[(0.5998494284158954, 730910.375, 222005.671875), (0.633174396661223, 730910.4375, 222005.671875), (0.6664993649065505, 730910.3125, 222005.65625), (0.699824333151878, 730910.375, 222005.65625), (0.7331493013972056, 730910.3125, 222005.640625), (0.7664742696425331, 730910.3125, 222005.625), (0.7997992378878606, 730910.3125, 222005.625), (0.8331242061331882, 730910.375, 222005.625), (0.8664491743785157, 730910.3125, 222005.625), (0.8997741426238431, 730910.3125, 222005.609375), (0.9330991108691707, 730910.375, 222005.625)]"
24,0.33324968245327524,,13,23,CELL_A_4,"[(0.16662484122663762, 730910.3125, 222005.59375), (0.19994980947196514, 730910.3125, 222005.59375), (0.2332747777172927, 730910.375, 222005.59375), (0.2665997459626202, 730910.3125, 222005.578125), (0.2999247142079477, 730910.3125, 222005.59375), (0.33324968245327524, 730910.25, 222005.578125), (0.3665746506986028, 730910.375, 222005.609375), (0.3998996189439303, 730910.3125, 222005.578125), (0.4332245871892578, 730910.3125, 222005.578125), (0.4665495554345854, 730910.3125, 222005.578125), (0.49987452367991286, 730910.375, 222005.578125), (0.5331994919252404, 730910.3125, 222005.578125), (0.5665244601705679, 730910.3125, 222005.5625), (0.5998494284158954, 730910.3125, 222005.5625), (0.633174396661223, 730910.375, 222005.5625)]","[(0.9664240791144982, 730910.375, 222005.609375)]"
25,0.16662484122663757,,15,24,CELL_P_3,"[(0.3665746506986028, 730910.5, 222006.390625), (0.3998996189439303, 730910.4375, 222006.390625), (0.4332245871892578, 730910.4375, 222006.40625), (0.4665495554345854, 730910.4375, 222006.375), (0.49987452367991286, 730910.4375, 222006.40625), (0.5331994919252404, 730910.5, 222006.40625), (0.5665244601705679, 730910.4375, 222006.421875), (0.5998494284158954, 730910.4375, 222006.421875), (0.633174396661223, 730910.4375, 222006.421875), (0.6664993649065505, 730910.375, 222006.4375), (0.699824333151878, 730910.375, 222006.421875), (0.7331493013972056, 730910.4375, 222006.4375)]","[(0.8997741426238431, 730910.4375, 222006.390625), (0.9330991108691707, 730910.3125, 222006.375), (0.9664240791144982, 730910.375, 222006.390625)]"
26,0.1666248412266376,,18,69,CELL_I_4,"[(0.0, 730910.375, 222006.03125), (0.033324968245327526, 730910.4375, 222006.046875), (0.06664993649065505, 730910.375, 222006.046875), (0.09997490473598257, 730910.375, 222006.03125), (0.1332998729813101, 730910.4375, 222006.046875)]","[(0.2999247142079477, 730910.5625, 222006.046875)]"
27,0.2332747777172927,,18,69,CELL_I_4,"[(0.0, 730910.375, 222006.03125), (0.033324968245327526, 730910.4375, 222006.046875), (0.06664993649065505, 730910.375, 222006.046875), (0.09997490473598257, 730910.375, 222006.03125), (0.1332998729813101, 730910.4375, 222006.046875)]","[(0.3665746506986028, 730910.5, 222006.015625), (0.3998996189439303, 730910.5625, 222006.046875)]"
28,0.6998243331518781,,18,69,CELL_I_4,"[(0.0, 730910.375, 222006.03125), (0.033324968245327526, 730910.4375, 222006.046875), (0.06664993649065505, 730910.375, 222006.046875), (0.09997490473598257, 730910.375, 222006.03125), (0.1332998729813101, 730910.4375, 222006.046875)]","[(0.8331242061331882, 730910.5, 222006.03125)]"
29,0.09997490473598258,,49,69,CELL_I_4,"[(0.0, 730910.5, 222006.0625), (0.033324968245327526, 730910.5, 222006.046875), (0.06664993649065505, 730910.5, 222006.046875), (0.09997490473598257, 730910.5625, 222006.046875), (0.1332998729813101, 730910.4375, 222006.046875), (0.16662484122663762, 730910.5625, 222006.046875), (0.19994980947196514, 730910.5, 222006.0625), (0.2332747777172927, 730910.5, 222006.03125), (0.2665997459626202, 730910.5, 222006.03125), (0.2999247142079477, 730910.5, 222006.03125), (0.33324968245327524, 730910.5625, 222006.046875), (0.3665746506986028, 730910.5, 222006.046875), (0.3998996189439303, 730910.4375, 222006.03125), (0.4332245871892578, 730910.5, 222006.015625), (0.4665495554345854, 730910.5, 222006.046875), (0.49987452367991286, 730910.5, 222006.03125), (0.5331994919252404, 730910.5625, 222006.046875), (0.5665244601705679, 730910.5, 222006.03125), (0.5998494284158954, 730910.5625, 222006.03125), (0.633174396661223, 730910.5, 222006.015625), (0.6664993649065505, 730910.5, 222006.03125), (0.699824333151878, 730910.4375, 222006.015625), (0.7331493013972056, 730910.4375, 222006.03125)]","[(0.8331242061331882, 730910.5, 222006.03125)]"
