event_id,pet,pet_time_based,frame,track_a,track_b,orig_track_a,seg_a,orig_track_b,seg_b,conflict_type,grid_cell,track_a_entry_frame,track_a_exit_frame,track_a_exit_time_sec,track_b_entry_frame,track_b_entry_time_sec,track_b_exit_frame,video_source,site,time_of_day_label,gate_a_entry,gate_b_entry
14,0.633174396661223,0.6331743966612229,24,15000,17000,15,0,17,0,side_swipe,cell_I_3,0,5,0.1666248412266376,24,0.7997992378878606,33,GITI,GITI,,North_Gate,North_Gate
15,2.9659221738341497,2.96592217383415,206,15000,21000,15,0,21,0,crossing,cell_M_1,110,117,3.89902128470332,206,6.864943458537471,236,GITI,GITI,,North_Gate,North_Gate
16,1.2330238250771184,1.2330238250771184,110,24000,15000,24,0,15,0,other,cell_M_1,110,111,3.699071475231355,52,1.7328983487570313,73,GITI,GITI,,West_Gate,North_Gate
17,2.1327979677009616,2.1327979677009616,110,32000,15000,32,0,15,0,other,cell_M_1,110,117,3.89902128470332,18,0.5998494284158954,46,GITI,GITI,,West_Gate,North_Gate
18,2.4660476501542368,2.4660476501542363,177,15000,37000,15,0,37,0,other,cell_L_2,87,103,3.4324717292687352,177,5.898519379422972,236,GITI,GITI,,North_Gate,West_Gate
19,0.3665746506986028,0.3665746506986029,110,41000,15000,41,0,15,0,other,cell_M_1,110,111,3.699071475231355,99,3.299171856287425,99,GITI,GITI,,West_Gate,North_Gate
20,2.332747777172927,2.332747777172927,89,44000,15000,44,0,15,0,head_on,cell_L_2,89,103,3.4324717292687352,0,0.0,19,GITI,GITI,,unknown,North_Gate
21,0.4998745236799128,0.4998745236799129,201,47001,15000,47,1,15,0,head_on,cell_O_1,201,208,6.931593395028125,164,5.465294792233714,186,GITI,GITI,,unknown,North_Gate
22,1.532948539285066,1.532948539285066,89,49000,15000,49,0,15,0,side_swipe,cell_L_2,89,103,3.4324717292687352,33,1.0997239520958084,43,GITI,GITI,,West_Gate,North_Gate
23,0.9664240791144982,0.9664240791144983,132,15000,49003,15,0,49,3,other,cell_L_2,88,103,3.4324717292687352,132,4.398895808383234,149,GITI,GITI,,North_Gate,West_Gate
24,0.8331242061331882,0.8331242061331882,53,15000,52000,15,0,52,0,head_on,cell_J_3,20,28,0.9330991108691707,53,1.766223317002359,53,GITI,GITI,,North_Gate,unknown
25,0.6664993649065505,0.6664993649065505,57,59001,15000,59,1,15,0,crossing,cell_K_2,57,68,2.266097840682272,14,0.4665495554345854,37,GITI,GITI,,unknown,North_Gate
26,1.4996235710397383,1.4996235710397383,83,60000,15000,60,0,15,0,side_swipe,cell_L_2,83,97,3.23252191979677,29,0.9664240791144982,38,GITI,GITI,,West_Gate,North_Gate
27,2.166122935946289,2.166122935946289,90,63000,15000,63,0,15,0,head_on,cell_L_2,90,103,3.4324717292687352,24,0.7997992378878606,25,GITI,GITI,,unknown,North_Gate
28,2.232772872436944,2.232772872436944,208,95000,15000,95,0,15,0,crossing,cell_O_1,208,222,7.39814295046271,131,4.365570840137906,141,GITI,GITI,,unknown,North_Gate
29,1.7328983487570313,1.7328983487570309,201,97000,15000,97,0,15,0,head_on,cell_N_1,201,202,6.73164358555616,132,4.398895808383234,149,GITI,GITI,,unknown,North_Gate
30,2.3993977136635816,2.399397713663581,295,15000,129000,15,0,129,0,other,cell_O_1,202,223,7.431467918708038,295,9.83086563237162,299,GITI,GITI,,North_Gate,unknown
31,1.9328481582289965,1.932848158228997,280,16000,26003,16,0,26,3,side_swipe,cell_I_4,213,222,7.39814295046271,280,9.330991108691707,281,GITI,GITI,,South_Gate,unknown
32,2.0994729994556343,2.0994729994556343,118,17000,22000,17,0,22,0,head_on,cell_I_3,46,55,1.8328732534930137,118,3.932346252948648,132,GITI,GITI,,North_Gate,unknown
33,1.532948539285066,1.5329485392850657,210,24000,17000,24,0,17,0,head_on,cell_N_1,210,232,7.731392632915986,137,4.565520649609871,164,GITI,GITI,,West_Gate,North_Gate
34,1.8328732534930137,1.8328732534930137,170,26000,17000,26,0,17,0,head_on,cell_M_1,170,191,6.3650689348575575,115,3.8323713482126656,115,GITI,GITI,,West_Gate,North_Gate
35,1.999498094719652,1.9994980947196512,81,17000,29000,17,0,29,0,other,cell_H_3,13,21,0.699824333151878,81,2.6993224278715293,103,GITI,GITI,,North_Gate,unknown
36,2.499372618399564,2.4993726183995646,218,32000,17000,32,0,17,0,head_on,cell_N_1,218,241,8.031317347123933,128,4.265595935401923,143,GITI,GITI,,West_Gate,North_Gate
37,1.5662735075303935,1.5662735075303935,177,17000,37000,17,0,37,0,other,cell_L_2,117,130,4.332245871892578,177,5.898519379422972,236,GITI,GITI,,North_Gate,West_Gate
38,1.2330238250771184,1.2330238250771188,250,47001,17000,47,1,17,0,head_on,cell_N_1,250,268,8.931091489747777,190,6.33174396661223,213,GITI,GITI,,unknown,North_Gate
39,2.4660476501542368,2.4660476501542368,100,49000,17000,49,0,17,0,other,cell_K_2,100,112,3.732396443476683,9,0.2999247142079477,26,GITI,GITI,,West_Gate,North_Gate
42,1.6329234440210487,1.6329234440210487,86,59001,17000,59,1,17,0,crossing,cell_K_2,86,96,3.1991969515514422,37,1.2330238250771184,37,GITI,GITI,,unknown,North_Gate
43,2.56602255489022,2.56602255489022,101,60000,17000,60,0,17,0,side_swipe,cell_L_2,101,113,3.7657214117220095,11,0.3665746506986028,24,GITI,GITI,,West_Gate,North_Gate
44,0.3998996189439303,0.3998996189439302,18,17000,67000,17,0,67,0,head_on,cell_G_3,0,6,0.1999498094719651,18,0.5998494284158954,31,GITI,GITI,,North_Gate,West_Gate
45,0.2332747777172927,0.233274777717293,224,81000,17000,81,0,17,0,side_swipe,cell_N_1,224,241,8.031317347123933,209,6.964918363273453,217,GITI,GITI,,West_Gate,North_Gate
46,0.9330991108691707,0.9330991108691702,213,92003,17000,92,3,17,0,crossing,cell_N_1,213,233,7.764717601161314,175,5.831869442932317,185,GITI,GITI,,unknown,North_Gate
47,0.5331994919252404,0.5331994919252407,250,92005,17000,92,5,17,0,head_on,cell_N_1,250,269,8.964416457993105,196,6.531693776084195,234,GITI,GITI,,unknown,North_Gate
48,2.266097840682272,2.266097840682272,250,97000,17000,97,0,17,0,head_on,cell_N_1,250,252,8.397891997822537,148,4.9320953003084735,182,GITI,GITI,,unknown,North_Gate
49,2.032823062964979,2.032823062964979,139,17000,98000,17,0,98,0,other,cell_J_2,69,78,2.5993475231355467,139,4.632170586100526,175,GITI,GITI,,North_Gate,unknown
50,2.199447904191617,2.1994479041916164,144,17000,99000,17,0,99,0,other,cell_J_2,68,78,2.5993475231355467,144,4.798795427327163,167,GITI,GITI,,North_Gate,unknown
51,1.0663989838504808,1.0663989838504808,85,18000,67000,18,0,67,0,head_on,cell_E_3,45,53,1.766223317002359,85,2.83262230085284,99,GITI,GITI,,unknown,West_Gate
52,2.366072745418254,2.366072745418254,121,52000,20000,52,0,20,0,crossing,cell_J_3,121,141,4.698820522591181,39,1.2996737615677734,50,GITI,GITI,,unknown,North_Gate
53,1.9328481582289965,1.9328481582289965,113,69000,20000,69,0,20,0,other,cell_J_3,113,133,4.432220776628561,55,1.8328732534930137,55,GITI,GITI,,North_Gate,North_Gate
54,0.5331994919252404,0.5331994919252416,287,20000,73001,20,0,73,1,head_on,cell_H_3,233,271,9.03106639448376,287,9.564265886409,299,GITI,GITI,,North_Gate,unknown
55,0.2665997459626202,0.2665997459626199,172,91000,20000,91,0,20,0,rear_end,cell_I_3,172,191,6.3650689348575575,132,4.398895808383234,164,GITI,GITI,,unknown,North_Gate
56,2.999247142079477,2.999247142079477,204,26000,21000,26,0,21,0,head_on,cell_M_1,204,231,7.698067664670658,90,2.999247142079477,114,GITI,GITI,,West_Gate,North_Gate
57,1.6329234440210487,1.6329234440210487,59,41000,21000,41,0,21,0,side_swipe,cell_J_2,59,73,2.4327226819089094,1,0.0333249682453275,10,GITI,GITI,,West_Gate,North_Gate
58,1.999498094719652,1.999498094719652,113,52000,22000,52,0,22,0,crossing,cell_J_3,113,126,4.1989459989112685,53,1.766223317002359,53,GITI,GITI,,unknown,unknown
60,1.5995984757757211,1.5995984757757211,103,69000,22000,69,0,22,0,other,cell_J_3,103,117,3.89902128470332,55,1.8328732534930137,55,GITI,GITI,,North_Gate,unknown
61,1.332998729813101,1.3329987298131014,268,22000,110000,22,0,110,0,crossing,cell_G_3,207,228,7.5980927599346755,268,8.931091489747777,280,GITI,GITI,,unknown,unknown
62,1.0330740156051532,1.0330740156051532,62,24000,26000,24,0,26,0,side_swipe,cell_L_1,19,31,1.0330740156051532,62,2.0661480312103064,77,GITI,GITI,,West_Gate,West_Gate
63,2.999247142079477,2.999247142079477,129,30000,24000,30,0,24,0,side_swipe,cell_N_1,129,164,5.465294792233714,5,0.1666248412266376,39,GITI,GITI,,unknown,West_Gate
64,0.5665244601705679,0.566524460170568,38,32000,24000,32,0,24,0,side_swipe,cell_L_1,38,52,1.7328983487570313,0,0.0,21,GITI,GITI,,West_Gate,West_Gate
65,1.0330740156051532,1.033074015605153,81,24000,41000,24,0,41,0,side_swipe,cell_L_1,30,50,1.6662484122663763,81,2.6993224278715293,98,GITI,GITI,,West_Gate,West_Gate
66,1.3663236980584286,1.3663236980584286,56,24000,59002,24,0,59,2,crossing,cell_K_2,0,15,0.4998745236799128,56,1.8661982217383413,56,GITI,GITI,,West_Gate,West_Gate
67,2.865947269098167,2.865947269098167,136,79000,24000,79,0,24,0,head_on,cell_N_1,136,164,5.465294792233714,20,0.6664993649065505,50,GITI,GITI,,unknown,West_Gate
68,0.8997741426238431,0.8997741426238433,92,24000,92001,24,0,92,1,side_swipe,cell_L_1,44,65,2.166122935946289,92,3.0658970785701323,92,GITI,GITI,,West_Gate,unknown
69,0.9330991108691707,0.9330991108691706,96,24000,92003,24,0,92,3,other,cell_M_1,46,68,2.266097840682272,96,3.1991969515514422,107,GITI,GITI,,West_Gate,unknown
71,1.766223317002359,1.766223317002359,181,95000,24000,95,0,24,0,crossing,cell_O_1,181,256,8.531191870803847,110,3.665746506986028,128,GITI,GITI,,unknown,West_Gate
72,0.5998494284158954,0.5998494284158955,181,97000,24000,97,0,24,0,crossing,cell_N_1,181,261,8.697816712030484,132,4.398895808383234,163,GITI,GITI,,unknown,West_Gate
73,0.2332747777172927,0.2332747777172921,213,26000,25000,26,0,25,0,side_swipe,cell_L_3,213,232,7.731392632915986,205,6.831618490292143,206,GITI,GITI,,West_Gate,unknown
74,1.8328732534930137,1.8328732534930128,192,28000,25000,28,0,25,0,side_swipe,cell_L_2,192,209,6.964918363273453,120,3.998996189439303,137,GITI,GITI,,South_Gate,unknown
75,2.732647396116857,2.7326473961168567,130,25000,32000,25,0,32,0,head_on,cell_N_1,26,48,1.5995984757757211,130,4.332245871892578,143,GITI,GITI,,unknown,West_Gate
77,2.9325972055888223,2.9325972055888223,164,25000,47001,25,0,47,1,other,cell_O_1,61,76,2.532697586644892,164,5.465294792233714,184,GITI,GITI,,unknown,unknown
78,1.8995231899836689,1.899523189983668,192,78000,25000,78,0,25,0,side_swipe,cell_L_2,192,209,6.964918363273453,119,3.965671221193976,135,GITI,GITI,,unknown,unknown
79,1.4329736345490836,1.432973634549084,115,25000,95000,25,0,95,0,rear_end,cell_O_1,61,72,2.3993977136635816,115,3.8323713482126656,128,GITI,GITI,,unknown,unknown
80,2.332747777172927,2.332747777172928,132,25000,97000,25,0,97,0,other,cell_N_1,61,62,2.0661480312103064,132,4.398895808383234,151,GITI,GITI,,unknown,unknown
81,1.6329234440210487,1.6329234440210485,90,32000,26000,32,0,26,0,side_swipe,cell_M_1,90,114,3.7990463799673377,14,0.4665495554345854,41,GITI,GITI,,West_Gate,West_Gate
82,1.8661982217383413,1.8661982217383413,132,26000,49003,26,0,49,3,other,cell_L_2,60,76,2.532697586644892,132,4.398895808383234,149,GITI,GITI,,West_Gate,West_Gate
84,1.2330238250771184,1.2330238250771184,62,63000,26000,63,0,26,0,head_on,cell_L_2,62,77,2.56602255489022,24,0.7997992378878606,25,GITI,GITI,,unknown,West_Gate
85,2.0994729994556343,2.0994729994556343,69,26000,69000,26,0,69,0,crossing,cell_J_2,0,6,0.1999498094719651,69,2.2994228089275994,70,GITI,GITI,,West_Gate,North_Gate
86,0.5331994919252404,0.5331994919252403,136,26000,79000,26,0,79,0,side_swipe,cell_M_1,116,120,3.998996189439303,136,4.532195681364543,159,GITI,GITI,,West_Gate,unknown
87,1.6662484122663763,1.666248412266376,262,26000,95000,26,0,95,0,crossing,cell_L_3,202,212,7.064893268009436,262,8.731141680275812,275,GITI,GITI,,West_Gate,unknown
88,2.799297332607512,2.7992973326075115,216,26000,97000,26,0,97,0,crossing,cell_M_2,116,132,4.398895808383234,216,7.198193140990745,242,GITI,GITI,,West_Gate,unknown
89,1.999498094719652,1.999498094719652,256,78000,26003,78,0,26,3,side_swipe,cell_J_3,256,264,8.797791616766467,196,6.531693776084195,196,GITI,GITI,,unknown,unknown
90,1.1663738885864634,1.1663738885864634,70,33000,28000,33,0,28,0,side_swipe,cell_M_2,70,93,3.09922204681546,15,0.4998745236799128,35,GITI,GITI,,South_Gate,South_Gate
92,2.332747777172927,2.332747777172928,109,30000,32000,30,0,32,0,side_swipe,cell_N_1,7,39,1.2996737615677734,109,3.632421538740701,143,GITI,GITI,,unknown,West_Gate
93,2.9325972055888223,2.9325972055888228,218,30001,56002,30,1,56,2,other,cell_N_2,103,130,4.332245871892578,218,7.264843077481401,238,GITI,GITI,,unknown,unknown
94,0.1999498094719651,0.1999498094719651,93,59002,31000,59,2,31,0,crossing,cell_L_1,93,299,9.96416550535293,87,2.8992722373434945,87,GITI,GITI,,West_Gate,West_Gate
95,0.9664240791144982,0.9664240791144982,40,63000,31000,63,0,31,0,crossing,cell_K_1,40,262,8.731141680275812,1,0.0333249682453275,11,GITI,GITI,,unknown,West_Gate
96,2.366072745418254,2.366072745418254,85,32000,41000,32,0,41,0,other,cell_L_1,0,14,0.4665495554345854,85,2.83262230085284,98,GITI,GITI,,West_Gate,West_Gate
97,0.5331994919252404,0.5331994919252399,159,32000,60000,32,0,60,0,crossing,cell_N_1,129,143,4.765470459081836,159,5.298669951007076,175,GITI,GITI,,West_Gate,West_Gate
98,2.56602255489022,2.56602255489022,127,79000,32000,79,0,32,0,head_on,cell_N_1,127,143,4.765470459081836,33,1.0997239520958084,50,GITI,GITI,,unknown,West_Gate
99,1.8661982217383413,1.8661982217383413,199,32000,81000,32,0,81,0,head_on,cell_N_1,126,143,4.765470459081836,199,6.6316686808201775,217,GITI,GITI,,West_Gate,West_Gate
100,2.0661480312103064,2.0661480312103064,96,32000,92003,32,0,92,3,other,cell_M_1,8,34,1.1330489203411358,96,3.1991969515514422,107,GITI,GITI,,West_Gate,unknown
101,0.8664491743785157,0.8664491743785154,117,32000,94000,32,0,94,0,head_on,cell_M_1,63,91,3.032572110324805,117,3.89902128470332,119,GITI,GITI,,West_Gate,unknown
102,1.4662986027944112,1.466298602794411,72,44002,33000,44,2,33,0,other,cell_L_2,72,85,2.83262230085284,25,0.8331242061331882,28,GITI,GITI,,unknown,South_Gate
103,1.3663236980584286,1.3663236980584288,115,44003,33000,44,3,33,0,crossing,cell_K_3,115,125,4.165621030665941,74,2.4660476501542368,74,GITI,GITI,,North_Gate,South_Gate
104,1.0997239520958084,1.0997239520958082,68,33000,78000,33,0,78,0,side_swipe,cell_M_2,15,35,1.1663738885864634,68,2.266097840682272,94,GITI,GITI,,South_Gate,unknown
105,2.6326724913808746,2.6326724913808746,98,71001,34000,71,1,34,0,side_swipe,cell_F_3,98,112,3.732396443476683,13,0.4332245871892578,19,GITI,GITI,,SouthWest_Gate,SouthWest_Gate
106,0.5331994919252404,0.5331994919252401,72,36000,67000,36,0,67,0,other,cell_F_3,56,56,1.8661982217383413,72,2.3993977136635816,87,GITI,GITI,,unknown,West_Gate
107,2.56602255489022,2.56602255489022,154,41000,37000,41,0,37,0,other,cell_L_1,154,163,5.4319698239883865,62,2.0661480312103064,77,GITI,GITI,,West_Gate,West_Gate
108,2.0994729994556343,2.099472999455634,177,49002,37000,49,2,37,0,crossing,cell_L_2,177,236,7.864692505897296,91,3.032572110324805,114,GITI,GITI,,West_Gate,West_Gate
109,0.7331493013972056,0.733149301397205,180,37000,49003,37,0,49,3,other,cell_K_1,123,158,5.265344982761749,180,5.998494284158954,299,GITI,GITI,,West_Gate,West_Gate
110,2.532697586644892,2.5326975866448915,266,39001,115000,39,1,115,0,other,cell_N_3,16,190,6.33174396661223,266,8.864441553257121,266,GITI,GITI,,North_Gate,unknown
111,0.9997490473598256,0.9997490473598258,76,40000,73001,40,0,73,1,side_swipe,cell_D_2,10,46,1.532948539285066,76,2.532697586644892,116,GITI,GITI,,unknown,unknown
112,2.7659723643621845,2.765972364362184,162,41000,49003,41,0,49,3,crossing,cell_L_1,63,79,2.6326724913808746,162,5.398644855743059,162,GITI,GITI,,West_Gate,West_Gate
113,1.266348793322446,1.2663487933224462,63,63000,41000,63,0,41,0,head_on,cell_L_1,63,78,2.5993475231355467,24,0.7997992378878606,25,GITI,GITI,,unknown,West_Gate
114,1.8995231899836689,1.899523189983669,69,41000,69000,41,0,69,0,crossing,cell_J_2,2,12,0.3998996189439303,69,2.2994228089275994,70,GITI,GITI,,West_Gate,North_Gate
115,0.8997741426238431,0.8997741426238433,128,41000,81000,41,0,81,0,side_swipe,cell_M_1,101,101,3.36582179277808,128,4.265595935401923,148,GITI,GITI,,West_Gate,West_Gate
117,2.499372618399564,2.4993726183995646,115,48000,41001,48,0,41,1,other,cell_N_1,115,172,5.731894538196334,0,0.0,40,GITI,GITI,,unknown,West_Gate
118,0.633174396661223,0.6331743966612233,178,41001,60000,41,1,60,0,head_on,cell_O_1,114,159,5.298669951007076,178,5.931844347668299,208,GITI,GITI,,West_Gate,West_Gate
119,1.1996988568317908,1.199698856831791,114,79000,41001,79,0,41,1,other,cell_O_1,114,158,5.265344982761749,63,2.0994729994556343,78,GITI,GITI,,unknown,West_Gate
120,1.1330489203411358,1.1330489203411358,60,42000,45002,42,0,45,2,side_swipe,cell_C_1,0,26,0.8664491743785157,60,1.999498094719652,92,GITI,GITI,,unknown,West_Gate
121,1.6329234440210487,1.6329234440210487,77,44002,43006,44,2,43,6,crossing,cell_L_2,77,77,2.56602255489022,25,0.8331242061331882,28,GITI,GITI,,unknown,unknown
122,2.3993977136635816,2.399397713663582,91,44000,49002,44,0,49,2,other,cell_L_2,0,19,0.633174396661223,91,3.032572110324805,114,GITI,GITI,,unknown,West_Gate
123,1.5995984757757211,1.5995984757757211,67,44000,59002,44,0,59,2,head_on,cell_L_2,0,19,0.633174396661223,67,2.232772872436944,86,GITI,GITI,,unknown,West_Gate
124,0.1666248412266376,0.1666248412266375,21,60000,44000,60,0,44,0,other,cell_L_2,21,23,0.7664742696425331,15,0.4998745236799128,16,GITI,GITI,,West_Gate,unknown
125,1.999498094719652,1.999498094719652,86,51000,45002,51,0,45,2,side_swipe,cell_C_1,86,96,3.1991969515514422,0,0.0,26,GITI,GITI,,North_Gate,West_Gate
126,0.7997992378878606,0.7997992378878602,90,73001,45002,73,1,45,2,side_swipe,cell_C_1,90,97,3.23252191979677,30,0.9997490473598256,66,GITI,GITI,,unknown,West_Gate
127,2.5993475231355467,2.5993475231355467,171,45002,102000,45,2,102,0,other,cell_C_1,64,93,3.09922204681546,171,5.698569569951006,187,GITI,GITI,,West_Gate,unknown
128,0.4665495554345854,0.4665495554345851,136,47000,54000,47,0,54,0,head_on,cell_N_3,38,122,4.065646125929958,136,4.532195681364543,181,GITI,GITI,,unknown,North_Gate
129,2.6993224278715293,2.6993224278715298,203,47000,54001,47,0,54,1,other,cell_N_3,0,122,4.065646125929958,203,6.764968553801488,209,GITI,GITI,,unknown,unknown
130,0.2665997459626202,0.2665997459626208,212,47001,60000,47,1,60,0,side_swipe,cell_N_1,178,204,6.798293522046815,212,7.064893268009436,255,GITI,GITI,,unknown,West_Gate
131,1.1996988568317908,1.199698856831791,164,95000,47001,95,0,47,1,other,cell_O_1,164,186,6.198444093630919,119,3.965671221193976,128,GITI,GITI,,unknown,unknown
132,0.8997741426238431,0.8997741426238433,41,72001,48000,72,1,48,0,crossing,cell_N_1,41,77,2.56602255489022,14,0.4665495554345854,14,GITI,GITI,,unknown,unknown
133,1.999498094719652,1.999498094719652,256,78000,48000,78,0,48,0,side_swipe,cell_J_3,256,266,8.864441553257121,196,6.531693776084195,196,GITI,GITI,,unknown,unknown
134,1.2330238250771184,1.2330238250771186,63,48000,79000,48,0,79,0,other,cell_O_1,0,26,0.8664491743785157,63,2.0994729994556343,80,GITI,GITI,,unknown,unknown
135,2.6993224278715293,2.699322427871529,213,48000,97000,48,0,97,0,rear_end,cell_M_2,102,132,4.398895808383234,213,7.098218236254763,241,GITI,GITI,,unknown,unknown
136,0.3998996189439303,0.3998996189439302,37,63000,49000,63,0,49,0,crossing,cell_L_2,37,53,1.766223317002359,24,0.7997992378878606,25,GITI,GITI,,unknown,West_Gate
137,0.1666248412266376,0.1666248412266378,91,59002,49002,59,2,49,2,other,cell_L_2,91,114,3.7990463799673377,67,2.232772872436944,86,GITI,GITI,,West_Gate,West_Gate
138,1.4662986027944112,1.4662986027944112,91,60000,49002,60,0,49,2,other,cell_L_2,91,114,3.7990463799673377,29,0.9664240791144982,47,GITI,GITI,,West_Gate,West_Gate
139,2.199447904191617,2.199447904191617,91,63000,49002,63,0,49,2,other,cell_L_2,91,114,3.7990463799673377,24,0.7997992378878606,25,GITI,GITI,,unknown,West_Gate
140,1.532948539285066,1.5329485392850666,132,59002,49003,59,2,49,3,other,cell_L_2,132,149,4.965420268553801,67,2.232772872436944,86,GITI,GITI,,West_Gate,West_Gate
141,2.732647396116857,2.7326473961168576,132,60000,49003,60,0,49,3,other,cell_L_2,132,149,4.965420268553801,32,1.0663989838504808,50,GITI,GITI,,West_Gate,West_Gate
142,2.9659221738341497,2.965922173834149,207,57000,50001,57,0,50,1,crossing,cell_E_3,207,274,9.131041299219742,57,1.8995231899836689,118,GITI,GITI,,West_Gate,unknown
143,1.8661982217383413,1.8661982217383413,279,99000,51000,99,0,51,0,head_on,cell_J_2,279,290,9.664240791144982,223,7.431467918708038,223,GITI,GITI,,unknown,North_Gate
144,2.9325972055888223,2.932597205588822,266,54000,115000,54,0,115,0,crossing,cell_N_3,0,178,5.931844347668299,266,8.864441553257121,266,GITI,GITI,,North_Gate,unknown
145,0.7997992378878606,0.7997992378878607,233,54001,115000,54,1,115,0,other,cell_N_3,203,209,6.964918363273453,233,7.764717601161314,240,GITI,GITI,,unknown,unknown
146,2.7659723643621845,2.7659723643621854,233,56001,115000,56,1,115,0,other,cell_N_3,11,150,4.998745236799128,233,7.764717601161314,240,GITI,GITI,,North_Gate,unknown
147,0.9664240791144982,0.9664240791144983,100,57000,67000,57,0,67,0,crossing,cell_E_3,11,71,2.366072745418254,100,3.3324968245327526,115,GITI,GITI,,West_Gate,West_Gate
148,1.399648666303756,1.3996486663037562,67,63000,59002,63,0,59,2,other,cell_L_1,67,86,2.865947269098167,24,0.7997992378878606,25,GITI,GITI,,unknown,West_Gate
149,0.3998996189439303,0.3998996189439302,37,63000,60000,63,0,60,0,crossing,cell_L_2,37,53,1.766223317002359,24,0.7997992378878606,25,GITI,GITI,,unknown,West_Gate
150,2.3993977136635816,2.399397713663581,277,60000,81000,60,0,81,0,other,cell_O_1,178,205,6.831618490292143,277,9.231016203955724,295,GITI,GITI,,West_Gate,West_Gate
152,1.6662484122663763,1.666248412266376,178,95000,60000,95,0,60,0,head_on,cell_O_1,178,209,6.964918363273453,110,3.665746506986028,128,GITI,GITI,,unknown,West_Gate
153,0.1999498094719651,0.1999498094719651,118,71001,80002,71,1,80,2,other,cell_D_3,100,112,3.732396443476683,118,3.932346252948648,148,GITI,GITI,,SouthWest_Gate,unknown
154,2.6993224278715293,2.6993224278715293,95,72001,79000,72,1,79,0,crossing,cell_N_1,14,14,0.4665495554345854,95,3.165871983306115,119,GITI,GITI,,unknown,unknown
155,1.0663989838504808,1.0663989838504808,85,76000,73001,76,0,73,1,side_swipe,cell_D_2,85,122,4.065646125929958,19,0.633174396661223,53,GITI,GITI,,unknown,unknown
156,0.2999247142079477,0.2999247142079477,240,77001,117000,77,1,117,0,other,cell_J_5,230,231,7.698067664670658,240,7.997992378878606,270,GITI,GITI,,unknown,unknown
157,1.0663989838504808,1.066398983850481,110,79000,95000,79,0,95,0,other,cell_O_1,63,78,2.5993475231355467,110,3.665746506986028,128,GITI,GITI,,unknown,unknown
158,0.9997490473598256,0.9997490473598254,121,92001,81000,92,1,81,0,other,cell_M_1,121,139,4.632170586100526,89,2.9659221738341497,91,GITI,GITI,,unknown,West_Gate
159,0.2665997459626202,0.2665997459626199,193,92003,81000,92,3,81,0,crossing,cell_N_1,193,217,7.231518109236073,172,5.731894538196334,185,GITI,GITI,,unknown,West_Gate
160,1.0663989838504808,1.0663989838504806,151,94000,81000,94,0,81,0,other,cell_M_1,151,174,5.798544474686989,117,3.89902128470332,119,GITI,GITI,,unknown,West_Gate
