idx,track_a,track_b,pet,frame,angle_fl,angle_world,consist_a,consist_b,max_gap_40,max_jump,n_a,n_b,max_p95,max_p99,max_frac,decel_max,pred_min_sep,pred_t_min,verdict,is_N
13,49000,15000,1.532948539285066,89,,,,23.51263373230522,30,52.81292686647334,53,253,9.11916501606015,11.87834727198086,0.0040485829959514,0.0187469211839379,,,N,1
14,15000,49003,0.9664240791144982,132,102.7563445128585,,10.95996323387321,,20,52.81292686647334,253,124,5.087038924559702,7.69568400008142,0.0040485829959514,0.0941035465670857,3.1182415593667447,0.0,N,1
15,15000,52000,0.8331242061331882,53,113.62710101966164,87.10572841630314,7.608172433261593,34.32306686140476,20,53.99946545849559,253,37,5.087038924559702,36.96359033359305,0.0294117647058823,0.0179418614714125,2.2682141772320223,0.0,N,1
16,59001,15000,0.6664993649065505,57,,,,7.122625493457979,40,52.81292686647334,19,253,7.527556490278673,28.360817405701575,0.0588235294117647,0.0146732465865531,,,N,1
17,60000,15000,1.4996235710397383,83,4.8047180084749925,6.582897987370668,10.7448846632571,17.64955597910244,1,59.30343763463081,278,253,5.087038924559702,37.66406653552698,0.0180505415162454,0.0077741512723772,0.8296337915805957,60.0,N,1
18,97000,15000,1.7328983487570313,201,71.38547086388098,51.30722467236308,8.883616614132285,55.08828632997301,9,52.81292686647334,168,253,5.087038924559702,7.69568400008142,0.0040485829959514,-0.0046435461661598,1.5675308889037467,7.0,N,1
19,16000,26003,1.9328481582289965,280,29.14880441367231,45.149203361132464,5.552046116368018,6.711255953607571,12,16.79135008087184,297,33,16.09721607185765,16.776114219304223,0.0,-0.0571477813227103,6.957112335662869,0.0,N,1
20,24000,17000,1.532948539285066,210,7.440274187516309,8.70846862528903,68.78158519558858,10.87600854037789,12,47.86323456864893,223,275,5.9526638254001725,43.01709413176555,0.0184331797235023,-0.0002419290615869,0.9088394206796876,60.0,N,1
21,26000,17000,1.8328732534930137,170,175.09854804138732,174.04120541153907,13.485199830766463,7.046399201737515,2,60.69633777932363,197,275,5.9526638254001725,52.40973150187919,0.0153846153846153,0.0097136723860482,2.650920963421932,0.0,N,1
22,17000,29000,1.999498094719652,81,29.081064440023454,46.84821499808601,15.068207682008492,9.368293815421548,0,13.125874873684143,275,299,5.9526638254001725,10.097612179965813,0.0,0.0303692323463893,5.080254770673391,0.0,N,1
23,17000,37000,1.5662735075303935,177,56.87953512130065,85.30756272370081,6.404619721810235,105.95248326918636,13,52.52245461399271,275,198,5.9526638254001725,48.31503169348357,0.0155440414507772,0.1679085310844983,2.4496000276920538,0.0,N,1
24,47001,17000,1.2330238250771184,250,45.97818186465479,42.44027456927935,15.41889942361414,66.84673388865548,8,13.109775710256974,135,275,5.9526638254001725,10.097612179965813,0.0,0.0073925176210451,1.210061046881094,14.0,N,1
25,49002,17000,0.066649936490655,116,16.856214991729928,19.35270855384308,79.75775957876711,15.138060550167191,20,56.94887302231739,13,275,29.113369819324472,51.38177238171883,0.0909090909090909,0.0016886612016645,0.959904989264175,0.0,N,1
26,17000,49003,0.0333249682453275,132,92.09679658779449,,16.167885593462977,,20,13.109775710256974,275,124,5.9526638254001725,10.097612179965813,0.0,0.0138934905803857,0.4513811442783561,0.0,Y,0
27,59001,17000,1.6329234440210487,86,,,,15.744780465930306,41,33.569132634557306,19,275,7.527556490278673,28.360817405701575,0.0588235294117647,0.0291899472885655,,,N,1
28,17000,67000,0.3998996189439303,18,141.73723508334717,119.39676513649788,12.197480949662554,27.638097395016104,6,36.75215359206359,275,221,5.9526638254001725,18.85200367471024,0.0091324200913242,0.0225393750473929,1.2138965808348183,0.0,Y,0
29,81000,17000,0.2332747777172927,224,6.376902793211684,,9.35479374229281,10.762711456432289,27,13.109775710256974,142,275,5.9526638254001725,10.097612179965813,0.0,0.019469985286801,0.1352336934218857,54.0,Y,0
30,92003,17000,0.9330991108691707,213,,,,10.724608893138802,41,62.80712911056902,87,275,5.9526638254001725,21.262707386024204,0.0116279069767441,0.0002526955642593,,,N,1
31,92005,17000,0.5331994919252404,250,41.1310800826288,36.14454404455682,8.98180380678227,66.84673388865548,8,13.109775710256974,106,275,5.9526638254001725,10.097612179965813,0.0,0.0073925176210451,0.6614206895863344,12.0,N,1
32,18000,67000,1.0663989838504808,85,,,,8.877268703404804,41,36.75215359206359,65,221,7.195672994826168,18.85200367471024,0.0091324200913242,0.0231328534135794,,,Y,0
33,69000,20000,1.9328481582289965,113,,,,6.463046013235866,41,50.03947802268006,20,272,4.107354331621215,5.168609768884448,0.003690036900369,0.0009492214228444,,,N,1
