event_id,pet,frame,track_a,track_b,orig_track_a,seg_a,orig_track_b,seg_b,conflict_type,grid_cell,track_a_entry_frame,track_a_exit_frame,track_b_entry_frame,track_b_exit_frame,site,time_of_day_label,gate_a_entry,gate_b_entry,first_track_id,second_track_id,first_exit_frame,first_exit_time_sec,second_entry_frame,second_entry_time_sec,pet_frames,pet_s,occupancy_relation,run_id,pipeline_version,git_commit,config_hash,fps,pet_method,conflict_zone_coordinate_system,conflict_zone_half_size_m
138,1.4662986027944112,91,60000,49002,60,0,49,2,other,cell_L_2,91,114,29,47,GITI,unspecified,West_Gate,West_Gate,49002,60000,47,1.5666666666666669,91,3.033333333333333,44,1.4666666666666666,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
139,2.199447904191617,91,63000,49002,63,0,49,2,other,cell_L_2,91,114,24,25,GITI,unspecified,,West_Gate,49002,63000,25,0.8333333333333334,91,3.033333333333333,66,2.2,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
140,1.532948539285066,132,59002,49003,59,2,49,3,other,cell_L_2,132,149,67,86,GITI,unspecified,West_Gate,West_Gate,49003,59002,86,2.8666666666666667,132,4.4,46,1.5333333333333334,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
141,2.732647396116857,132,60000,49003,60,0,49,3,other,cell_L_2,132,149,32,50,GITI,unspecified,West_Gate,West_Gate,49003,60000,50,1.6666666666666667,132,4.4,82,2.7333333333333334,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
142,2.9659221738341497,207,57000,50001,57,0,50,1,crossing,cell_E_3,207,274,57,118,GITI,unspecified,West_Gate,,50001,57000,118,3.933333333333333,207,6.9,89,2.966666666666667,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
143,1.8661982217383413,279,99000,51000,99,0,51,0,head_on,cell_J_2,279,290,223,223,GITI,unspecified,,North_Gate,51000,99000,223,7.433333333333334,279,9.3,56,1.8666666666666667,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
144,2.9325972055888223,266,54000,115000,54,0,115,0,crossing,cell_N_3,0,178,266,266,GITI,unspecified,North_Gate,,54000,115000,178,5.933333333333334,266,8.866666666666667,88,2.933333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
145,0.7997992378878606,233,54001,115000,54,1,115,0,other,cell_N_3,203,209,233,240,GITI,unspecified,,,54001,115000,209,6.966666666666667,233,7.766666666666667,24,0.8,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
146,2.7659723643621845,233,56001,115000,56,1,115,0,other,cell_N_3,11,150,233,240,GITI,unspecified,North_Gate,,56001,115000,150,5.0,233,7.766666666666667,83,2.7666666666666666,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
147,0.9664240791144982,100,57000,67000,57,0,67,0,crossing,cell_E_3,11,71,100,115,GITI,unspecified,West_Gate,West_Gate,57000,67000,71,2.3666666666666667,100,3.333333333333333,29,0.9666666666666668,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
148,1.399648666303756,67,63000,59002,63,0,59,2,other,cell_L_1,67,86,24,25,GITI,unspecified,,West_Gate,59002,63000,25,0.8333333333333334,67,2.2333333333333334,42,1.4,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
149,0.3998996189439303,37,63000,60000,63,0,60,0,crossing,cell_L_2,37,53,24,25,GITI,unspecified,,West_Gate,60000,63000,25,0.8333333333333334,37,1.2333333333333334,12,0.4,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
150,2.3993977136635816,277,60000,81000,60,0,81,0,other,cell_O_1,178,205,277,295,GITI,unspecified,West_Gate,West_Gate,60000,81000,205,6.833333333333333,277,9.233333333333333,72,2.4,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
