event_id,cell_id,obj_i,obj_j,t_exit_i,t_entry_j,PET
793,CELL_I_3,174,5,5.465294792233714,5.498619760479041,0.033324968245326936
794,CELL_I_3,174,5,5.465294792233714,5.565269696969697,0.09997490473598258
795,CELL_I_3,174,16,5.465294792233714,7.198193140990745,1.7328983487570309
796,CELL_I_3,174,16,5.465294792233714,7.298168045726728,1.8328732534930134
797,CELL_I_3,174,16,5.465294792233714,7.464792886953366,1.9994980947196517
798,CELL_I_3,174,125,5.465294792233714,7.264843077481401,1.7995482852476865
799,CELL_I_3,174,144,5.465294792233714,7.3314930139720556,1.8661982217383413
800,CELL_I_3,174,172,5.465294792233714,6.6316686808201775,1.1663738885864632
801,CELL_I_3,174,174,5.465294792233714,5.565269696969697,0.09997490473598258
802,CELL_I_3,174,185,5.465294792233714,6.6316686808201775,1.1663738885864632
803,CELL_I_3,174,198,5.465294792233714,6.59834371257485,1.1330489203411354
804,CELL_I_3,174,219,5.465294792233714,6.6316686808201775,1.1663738885864632
805,CELL_I_3,174,219,5.465294792233714,6.764968553801488,1.2996737615677736
806,CELL_I_3,174,242,5.465294792233714,7.431467918708038,1.9661731264743239
807,CELL_I_3,174,16,5.565269696969697,7.198193140990745,1.6329234440210483
808,CELL_I_3,174,16,5.565269696969697,7.298168045726728,1.7328983487570309
809,CELL_I_3,174,16,5.565269696969697,7.464792886953366,1.899523189983669
810,CELL_I_3,174,125,5.565269696969697,7.264843077481401,1.699573380511704
811,CELL_I_3,174,144,5.565269696969697,7.3314930139720556,1.7662233170023587
812,CELL_I_3,174,172,5.565269696969697,6.6316686808201775,1.0663989838504806
813,CELL_I_3,174,185,5.565269696969697,6.6316686808201775,1.0663989838504806
814,CELL_I_3,174,198,5.565269696969697,6.59834371257485,1.0330740156051528
815,CELL_I_3,174,219,5.565269696969697,6.6316686808201775,1.0663989838504806
816,CELL_I_3,174,219,5.565269696969697,6.764968553801488,1.199698856831791
817,CELL_I_3,174,242,5.565269696969697,7.431467918708038,1.8661982217383413
818,CELL_I_3,185,16,7.364817982217383,7.464792886953366,0.09997490473598258
819,CELL_I_3,185,16,7.364817982217383,7.798042569406641,0.43322458718925727
820,CELL_I_3,185,125,7.364817982217383,7.8313675376519685,0.4665495554345851
821,CELL_I_3,185,242,7.364817982217383,7.431467918708038,0.06664993649065476
822,CELL_I_3,185,271,7.364817982217383,7.964667410633278,0.5998494284158946
823,CELL_I_3,190,16,5.798544474686989,7.198193140990745,1.3996486663037562
824,CELL_I_3,190,16,5.798544474686989,7.298168045726728,1.4996235710397388
825,CELL_I_3,190,16,5.798544474686989,7.464792886953366,1.666248412266377
826,CELL_I_3,190,16,5.798544474686989,7.798042569406641,1.9994980947196517
827,CELL_I_3,190,125,5.798544474686989,7.264843077481401,1.4662986027944118
828,CELL_I_3,190,144,5.798544474686989,7.3314930139720556,1.5329485392850666
829,CELL_I_3,190,172,5.798544474686989,6.6316686808201775,0.8331242061331885
830,CELL_I_3,190,185,5.798544474686989,6.6316686808201775,0.8331242061331885
831,CELL_I_3,190,198,5.798544474686989,6.59834371257485,0.7997992378878607
832,CELL_I_3,190,219,5.798544474686989,6.6316686808201775,0.8331242061331885
833,CELL_I_3,190,219,5.798544474686989,6.764968553801488,0.9664240791144989
834,CELL_I_3,190,242,5.798544474686989,7.431467918708038,1.6329234440210492
835,CELL_I_3,198,16,7.164868172745418,7.198193140990745,0.033324968245326936
836,CELL_I_3,198,16,7.164868172745418,7.298168045726728,0.13329987298130952
837,CELL_I_3,198,16,7.164868172745418,7.464792886953366,0.29992471420794775
838,CELL_I_3,198,16,7.164868172745418,7.798042569406641,0.6331743966612224
839,CELL_I_3,198,125,7.164868172745418,7.264843077481401,0.09997490473598258
840,CELL_I_3,198,125,7.164868172745418,7.8313675376519685,0.6664993649065503
841,CELL_I_3,198,144,7.164868172745418,7.3314930139720556,0.16662484122663734
842,CELL_I_3,198,242,7.164868172745418,7.431467918708038,0.2665997459626199
843,CELL_I_3,198,271,7.164868172745418,7.964667410633278,0.7997992378878598
844,CELL_I_3,219,16,6.6316686808201775,7.198193140990745,0.5665244601705677
845,CELL_I_3,219,16,6.6316686808201775,7.298168045726728,0.6664993649065503
846,CELL_I_3,219,16,6.6316686808201775,7.464792886953366,0.8331242061331885
847,CELL_I_3,219,16,6.6316686808201775,7.798042569406641,1.1663738885864632
848,CELL_I_3,219,125,6.6316686808201775,7.264843077481401,0.6331743966612233
849,CELL_I_3,219,125,6.6316686808201775,7.8313675376519685,1.199698856831791
850,CELL_I_3,219,144,6.6316686808201775,7.3314930139720556,0.6998243331518781
851,CELL_I_3,219,219,6.6316686808201775,6.764968553801488,0.1332998729813104
852,CELL_I_3,219,242,6.6316686808201775,7.431467918708038,0.7997992378878607
853,CELL_I_3,219,271,6.6316686808201775,7.964667410633278,1.3329987298131005
854,CELL_I_3,219,16,7.39814295046271,7.464792886953366,0.06664993649065565
855,CELL_I_3,219,16,7.39814295046271,7.798042569406641,0.39989961894393034
856,CELL_I_3,219,125,7.39814295046271,7.8313675376519685,0.43322458718925816
857,CELL_I_3,219,242,7.39814295046271,7.431467918708038,0.033324968245327824
858,CELL_I_3,219,271,7.39814295046271,7.964667410633278,0.5665244601705677
859,CELL_I_3,242,187,8.531191870803847,9.597590854654326,1.0663989838504797
860,CELL_I_3,242,301,8.531191870803847,9.597590854654326,1.0663989838504797
861,CELL_I_3,271,187,8.697816712030484,9.597590854654326,0.8997741426238424
862,CELL_I_3,271,301,8.697816712030484,9.597590854654326,0.8997741426238424
863,CELL_I_4,5,16,7.13154320450009,7.898017474142623,0.7664742696425328
864,CELL_I_4,5,125,7.13154320450009,7.898017474142623,0.7664742696425328
865,CELL_I_4,10,14,2.199447904191617,2.2994228089275994,0.09997490473598258
866,CELL_I_4,10,93,2.199447904191617,2.366072745418254,0.16662484122663734
867,CELL_I_4,10,107,2.199447904191617,3.032572110324805,0.833124206133188
868,CELL_I_4,10,112,2.199447904191617,2.366072745418254,0.16662484122663734
869,CELL_I_4,10,114,2.199447904191617,3.0658970785701323,0.8664491743785154
870,CELL_I_4,10,116,2.199447904191617,2.3993977136635816,0.19994980947196472
871,CELL_I_4,10,116,2.199447904191617,2.732647396116857,0.5331994919252403
872,CELL_I_4,14,107,2.366072745418254,3.032572110324805,0.6664993649065507
873,CELL_I_4,14,114,2.366072745418254,3.0658970785701323,0.6998243331518781
874,CELL_I_4,14,116,2.366072745418254,2.3993977136635816,0.03332496824532738
875,CELL_I_4,14,116,2.366072745418254,2.732647396116857,0.36657465069860296
876,CELL_I_4,16,90,7.964667410633278,9.364316076937035,1.399648666303757
877,CELL_I_4,18,10,0.1332998729813101,1.7995482852476863,1.666248412266376
878,CELL_I_4,18,69,0.1332998729813101,0.2999247142079477,0.1666248412266376
879,CELL_I_4,18,69,0.1332998729813101,0.3665746506986028,0.2332747777172927
880,CELL_I_4,18,69,0.1332998729813101,0.8331242061331882,0.6998243331518781
881,CELL_I_4,18,69,0.1332998729813101,1.266348793322446,1.1330489203411358
882,CELL_I_4,49,10,0.7331493013972056,1.7995482852476863,1.0663989838504806
883,CELL_I_4,49,14,0.7331493013972056,2.2994228089275994,1.566273507530394
884,CELL_I_4,49,69,0.7331493013972056,0.8331242061331882,0.09997490473598258
885,CELL_I_4,49,69,0.7331493013972056,1.266348793322446,0.5331994919252404
886,CELL_I_4,49,93,0.7331493013972056,2.166122935946289,1.4329736345490836
887,CELL_I_4,49,93,0.7331493013972056,2.366072745418254,1.6329234440210487
888,CELL_I_4,49,112,0.7331493013972056,2.366072745418254,1.6329234440210487
889,CELL_I_4,49,116,0.7331493013972056,2.3993977136635816,1.666248412266376
890,CELL_I_4,49,116,0.7331493013972056,2.732647396116857,1.9994980947196517
891,CELL_I_4,69,10,0.2999247142079477,1.7995482852476863,1.4996235710397385
892,CELL_I_4,69,14,0.2999247142079477,2.2994228089275994,1.9994980947196517
893,CELL_I_4,69,69,0.2999247142079477,0.3665746506986028,0.06664993649065509
894,CELL_I_4,69,69,0.2999247142079477,0.8331242061331882,0.5331994919252405
895,CELL_I_4,69,69,0.2999247142079477,1.266348793322446,0.9664240791144982
896,CELL_I_4,69,93,0.2999247142079477,2.166122935946289,1.8661982217383413
897,CELL_I_4,69,10,0.3998996189439303,1.7995482852476863,1.399648666303756
